Range [x-1;x],p [y-1;y],Density,Measurement
0.55,0.047619048,0.55,10.48
0.5709,0.095238095,0.0209,7.64
0.5735,0.142857143,0.0026,5.83
0.574402,0.19047619,0.000902,4.91
0.575161,0.238095238,0.000759,4.76
0.575645,0.285714286,0.000484,4.37
0.5756766,0.333333333,0.0000316,2
0.5759276,0.380952381,0.000251,3.8
0.5759656,0.428571429,0.000038,2.16
0.57597504,0.476190476,0.00000944,0.95
0.57629504,0.523809524,0.00032,4.01
0.57630448,0.571428571,0.00000944,0.95
0.57631094,0.619047619,0.00000646,0.62
0.57631094,0.666666667,0,0
0.57633004,0.714285714,0.0000191,1.56
0.5763365,0.761904762,0.00000646,0.62
0.5763365,0.80952381,0,0
0.5763365,0.857142857,0,0
0.5763365,0.904761905,0,0
0.5763365,0.952380952,0,0
0.5764535,1,0.000117,3.14
