Range [x-1;x],p [y-1;y],Density,Measurement,,,
0.29,0.047619048,0.29,9.92,,,
0.368,0.095238095,0.078,8.78,,,
0.401,0.142857143,0.033,8.05,,,
0.416,0.19047619,0.015,7.33,,,
0.4248,0.238095238,0.0088,6.89,,,
0.4296,0.285714286,0.0048,6.37,,,
0.4315,0.333333333,0.0019,5.58,,,
0.4341,0.380952381,0.0026,5.82,,,
0.43498,0.428571429,0.00088,4.89,,,
0.43552,0.476190476,0.00054,4.47,,,
0.43702,0.523809524,0.0015,5.35,,,
0.43722,0.571428571,0.0002,3.6,,,
0.43744,0.619047619,0.00022,3.67,,,
0.43755,0.666666667,0.00011,3.11,,,
0.43776,0.714285714,0.00021,3.63,,,
0.43789,0.761904762,0.00013,3.2,,,
0.437928,0.80952381,0.000038,2.16,,,
0.437988,0.857142857,0.00006,2.55,,,
0.438035,0.904761905,0.000047,2.35,,,
0.43806,0.952380952,0.000025,1.81,,,
0.43906,1,0.001,5.01,,,
